code,desc_en,desc_fr,drug_en,drug_fr,format_en,format_fr,unit,note
DORAACIV2T-,"ACICLOVIR, 200 mg, tab.","ACICLOVIR, 200 mg, comp.",,,,,,OpenMRS drugId 1354 (matched)
DORAACSA3T-,"ACETYLSALICYLIC acid (aspirin), 300 mg, tab.","Acide ACETYLSALICYLIQUE (aspirine), 300 mg, comp.",,,,,,OpenMRS drugId 1422 (matched-approx)
DORAALBE4T-,"ALBENDAZOLE, 400 mg, tab.","ALBENDAZOLE, 400 mg, comp.",,,,,,OpenMRS drugId 1356 (matched)
DORAALUM44TC,"ALUMINIUM hydroxide / MAGNESIUM hydroxide ^   400mg/   400mg,chew.tab.","ALUMINIUM hydroxyde / MAGNESIUM hydroxyde ^   400mg/   400mg,cp.à mâcher",,,,,,OpenMRS drugId 2211 (matched)
DORAAMOC22TD,"AMOXICILLIN / CLAVULANIC acid ^  200mg/  , 28.5mg, disp. tab.","AMOXICILLINE / acide CLAVULANIQUE ^  200mg/   28,5mg, comp. disp.",,,,,,OpenMRS drugId 1386 (matched)
DORAAMOC4S5,"AMOXICILLIN / CLAVULANIC acid ^  400mg /   57mg/5ml, powd.oral susp. 70ml","AMOXICILLINE / acide CLAVULANIQUE ^  400mg/   57mg/5ml,poudre susp.orale 70ml",,,,,,OpenMRS drugId 1388 (matched)
DORAAMOC56T,"AMOXICILLIN / CLAVULANIC acid ^  500mg /  , 62.5 mg, tab.","AMOXICILLINE / acide CLAVULANIQUE ^  500 mg/ ac.  62,5 mg, comp.",,,,,,OpenMRS drugId 2212 (matched)
DORAAMOC81T,"AMOXICILLIN / CLAVULANIC acid ^  875mg /   125mg, tab.","AMOXICILLINE / acide CLAVULANIQUE ^  875mg / ac.  125mg, comp.",,,,,,OpenMRS drugId 2213 (matched)
DORAAMOX1S1,"AMOXICILLIN, 125mg/5ml, powder oral susp., 100 ml, bot.","AMOXICILLINE, 125mg/5ml, poudre susp. orale, 100 ml, fl",,,,,,OpenMRS drugId 1387 (matched)
DORAAMOX2T-,"AMOXICILLIN, 250 mg, tab.","AMOXICILLINE, 250 mg, comp.",,,,,,OpenMRS drugId 1385 (matched)
DORAAMOX2TDB,"AMOXICILLIN, 250 mg, disp. and breakable tab.","AMOXICILLINE, 250 mg, comp. disp et sécable",,,,,,OpenMRS drugId 1384 (matched)
DORAAMOX5T-,"AMOXICILLIN, 500 mg, tab.","AMOXICILLINE, 500 mg, comp.",,,,,,OpenMRS drugId 1390 (matched)
DORAARLU3T1,"AL (ARTEMETHER / LUMEFANTRINE) ^  20/120 mg, blister of 18 tab., 25-34 kg","AL (ARTEMETHER / LUMEFANTRINE) ^  20/120 mg, blister de 18 comp., 25-34 kg",,,,,,OpenMRS drugId 1403 (matched)
