OpenMRS drug_id,origin,OpenMRS drug name,status,MML code,MML description,match score,note
1354,renamed,"ACICLOVIR, 200mg, tab.",MATCHED,DORAACIV2T-,"ACICLOVIR, 200 mg, tab.",0.84,
1356,renamed,"ALBENDAZOLE, 400mg, tab.",MATCHED,DORAALBE4T-,"ALBENDAZOLE, 400 mg, tab.",0.841,
1384,renamed,"AMOXICILLIN, 250mg, disp. and break. tab.",MATCHED,DORAAMOX2TDB,"AMOXICILLIN, 250 mg, disp. and breakable tab.",0.835,
1385,renamed,"AMOXICILLINE, 250mg, tab.",MATCHED,DORAAMOX2T-,"AMOXICILLIN, 250 mg, tab.",0.773,
1386,renamed,"AMOXICILLIN 200mg/ CLAVULANIC acid, 28.5mg, disp. tab.",MATCHED,DORAAMOC22TD,"AMOXICILLIN 200mg/ CLAVULANIC acid, 28.5mg, disp. tab.",1.0,
1387,renamed,"AMOXICILLIN, 125mg/5ml, powder oral susp., 100ml, bot.",MATCHED,DORAAMOX1S1,"AMOXICILLIN, 125mg/5ml, powder oral susp., 100 ml, bot.",0.921,
1388,renamed,"AMOXICILLIN 400mg / CLAV.ac. 57mg/5ml, powd.oral susp. 70ml",MATCHED,DORAAMOC4S5,"AMOXICILLIN 400mg / CLAV.ac. 57mg/5ml, powd.oral susp. 70ml",1.0,
1389,renamed,"AMOXICILLIN, 500mg, tab.",MATCHED,DORAAMOX5T-,"AMOXICILLIN, 500 mg, tab.",0.841,
1390,renamed,"AMOXICILLIN, 500mg, tab.",MATCHED,DORAAMOX5T-,"AMOXICILLIN, 500 mg, tab.",0.841,
1403,renamed,"AL 20/120mg, blister of 18 tab., 25-34 kg",MATCHED,DORAARLU3T1,"AL 20/120 mg, blister of 18 tab., 25-34 kg",0.932,
1405,renamed,"AS 100mg / AQ eq. 270mg base, blister of 3 tab, 18-35 kg",MATCHED,DORAASAQ3T1,"AS 100  mg / AQ eq. 270 mg base, blister of 3 tab, 18-35 kg",0.914,
1408,renamed,"AS 100mg / AQ eq. 270mg base, blister of 6 tab., >36 kg",MATCHED,DORAASAQ4T1,"AS 100  mg / AQ eq. 270 mg base, blister of  6 tab., >36 kg",0.909,
1410,renamed,"AS 25mg / AQ eq. 67.5mg base, blister of 3 tab, 4.5-8 kg",MATCHED,DORAASAQ1T1,"AS 25 mg / AQ eq. 67.5 mg base, blister of 3 tab, 4.5-8 kg",0.933,
1414,renamed,"ASCORBIC acid (vitamin C), 250mg, chewable tab.",MATCHED,DORAASCA2T-,"ASCORBIC acid (vitamin C), 250 mg, tab.",0.836,
1422,renamed,"ACETYLSALICYLIC acid (aspirin), 300-325mg, tab.",MATCHED-APPROX,DORAACSA3T-,"ACETYLSALICYLIC acid (aspirin), 300 mg, tab.",0.564,MML wording/pack differs slightly
1435,renamed,"ATROPINE sulfate, 1mg/ml, 1ml, amp.",MATCHED,DINJATRO1A-,"ATROPINE sulfate, 1 mg/ml, 1 ml, amp.",0.862,
1441,renamed,"AZITHROMYCIN, 250mg, tab.",MATCHED,DORAAZIT2T-,"AZITHROMYCIN, 250 mg, tab.",0.841,
1446,renamed,"BECLOMETASONE dipropionate, 100mcg/puff, 200 puffs, aerosol",MATCHED,DORABECL1SF,"BECLOMETASONE dipropionate, 0.10mg/puff, 200 puffs,aerosol",0.902,
1447,renamed,"BECLOMETASONE dipropionate, 250mcg/puff, 200 puffs, aerosol",MATCHED,DORABECL2SF,"BECLOMETASONE dipropionate, 0.25mg/puff, 200 puffs,aerosol",0.902,
1453,renamed,"BENZYL BENZOATE, 25%, lotion, 1l, bot.",MATCHED,DEXTBENZ2L1,"BENZYL BENZOATE, 25%, lotion, 1 l, bot.",0.9,
1461,renamed,"BISOPROLOL fumarate, 10mg, break.tab. in 1/4",MATCHED,DORABISO1TB4,"BISOPROLOL fumarate, 10 mg, break.tab. in 1/4",0.92,
1462,renamed,"BISOPROLOL fumarate, 2.5mg, break. tab.",MATCHED,DORABISO2TB,"BISOPROLOL fumarate, 2.5 mg, break. tab.",0.901,
1472,renamed,"CAFFEINE CITRATE, 10mg/ml, eq. 5mg caffeine base, 1ml, amp.",MATCHED,DINJCAFC1A-,"CAFFEINE CITRATE, 10mg/ml, eq. 5 mg caffeine base, 1ml, amp.",0.928,
1475,renamed,"CALCIUM carbonate, eq. 500mg Ca, chewable tab.",MATCHED,DORACALC5TC,"CALCIUM carbonate, eq. 500 mg Ca, chewable tab.",0.912,
1476,renamed,"CALCIUM GLUCONATE, 100mg/ml, 10ml, amp.",MATCHED,DINJCALG1A-,"CALCIUM GLUCONATE, 100 mg/ml, 10 ml, amp.",0.85,
1488,renamed,"CEFIXIME, 100mg/5ml, powder for oral susp., 60ml, bot.",MATCHED,DORACEFI2S-,"CEFIXIME, 100mg/5ml, powder for oral susp., 60 ml, bot.",0.928,
1492,renamed,"CEFTRIAXONE sodium, eq. 1g base, powder, vial",MATCHED,DINJCEFT1V-,"CEFTRIAXONE sodium, eq. 1 g base,  powder, vial",0.912,
1497,renamed,"CEFALEXIN, 125mg/5ml, gran./pwd for oral susp. 100-150ml bot",MATCHED-APPROX,DORACEFX1S-,"CEFALEXIN, 125mg/5ml, granules oral susp., 100 ml, bot.",0.652,MML wording/pack differs slightly
